<unk>	UNKNOWN
Me gusta la leche. En mi casa siempre tomo leche por las mañanas para desayunar	LECHE SABOR BUENO CASA YO DESAYUNAR TODOS-LOS-DÍAS
¡Qué divertido pintar! ¿Tú qué has pintado?	COLOR PINTAR YO BIEN YO ENCANTAR DIVERTIDO TU COLOR PINTAR QUE?
¿Qué te pasa? Tienes cara de enfadada.	QUE-PASA? TU CARA TRISTE ENFADADA
Que venga mi amiga Susana ¿la puedo invitar?	AMIGA SUSANA QUIERO VENIR, INVITAR PODER?
Voy andando a la calle, a esperar el autobús.	 CALLE IR YO ANDAR ESPERAR BUS YO MONTAR-BUS
¿Dónde vives?.	 TU VIVIR DONDE?
El otoño empieza el 23 de septiembre y dura hasta el 21 de diciembre.	OTOÑO EMPEZAR 23 SEPTIEMBRE HASTA 21 DICIEMBRE.
En verano los días son más largos pero en otoño son cortos y se hace pronto de noche.	VERANO DÍA LARGUÍSIMO, OTOÑO DÍA CORTO, NOCHE PRONTO.
Los pájaros vuelan marchándose lejos, porque buscan el buen tiempo, ya que en otoño empieza a hacer frío.	PÁJARO \cl{volar} MUY-LEJOS TIEMPO CALIENTE BUSCAR MOTIVO OTOÑO EMPEZAR MUCHO-FRÍO.
Algunos animales como la ardilla se preparan guardando la comida, porque luego en invierno no hay.	ANIMAL ALGUNOS EJEMPLO ARDILLA COMIDA PREPARAR GUARDAR ANTES, MOTIVO INVIERNO COMIDA HABER NO.
Las hojas verdes de los árboles cambian de color y se vuelven amarillas-marrones y se caen de los árboles.	ÁRBOL, HOJA COLOR VERDE CONVERTIRSE AMARILLO MARRÓN, HOJA \cl{se caen hojas del árbol}.
El otoño es la mejor época para comer castañas, las setas, los frutos secos y frutas como las peras, las manzanas y las uvas.	CASTAÑA SETA FRUTO SECO COMER ÉPOCA MEJOR OTOÑO, FRUTA TAMBIÉN PERA MANZANA UVAS.
El invierno empieza el 22 de diciembre y llega hasta el 21 de marzo.	INVIERNO EMPEZAR 22 DICIEMBRE HASTA 21 MARZO.
Los días son muy cortos y enseguida se hace de noche.	DÍA MUY-CORTO, NOCHE YA, MUCHO-FRÍO.
Hace mucho frío y hay zonas en las que nieva.	MUCHO-FRÍO DEPENDER ZONA NIEVE.
Hay que ponerse mucha ropa: abrigo, gorro, guantes, bufanda, botas...	ROPA ABRIGO GORRO GUANTES BUFANDA BOTAS.
Hay animales como el oso que duermen que se quedan metidos en su cueva, durmiendo.	INVIERNO ANIMAL EJEMPLO OSO CUEVA \cl{hiberna en la cueva} DORMIR+.
El invierno está bien porque está la Navidad, hay vacaciones, viene Papá Noel, los Reyes Magos, hay regalos, y hay comida rica: turrón, polvorones, etc.	INVIERNO BUENO MOTIVO NAVIDAD VACACIONES PAPÁ-NOEL REYES-MAGOS REGALO-pl. COMIDA MUY-BUENO EJEMPLO TURRÓN \cl{polvorón} VARIOS.
Las mejores frutas de esta estación son la naranja y la mandarina.	INVIERNO FRUTA MUY-BUENO EL-MEJOR NARANJA MANDARINA.
La primavera empieza el 22 de marzo y llega hasta el 21 de junio.	PRIMAVERA EMPEZAR 22 MARZO HASTA 21 JUNIO.
Los días se van alargando y hace menos frío.	DÍA CADA-VEZ-MÁS-LARGO, FRÍO CADA-VEZ-MENOS.
El tiempo empieza a mejorar, aunque a veces llueve y hay viento.	TIEMPO EMPEZAR CADA-VEZ-MEJOR, A-VECES LLOVER VIENTO.
Vuelven los pájaros que antes se habían ido.	PÁJARO VOLAR ANTES \cl{los pájaros migran}. AHORA OTRA-VEZ \cl{los pájaros vuelven volando}.
En primavera nacen flores nuevas y el paisaje es muy verde.	PRIMAVERA, \cl{salen muchas flores}. CAMPO HIERBA VERDE.
Es una buena época para las fresas, y las ciruelas, que pueden ser de tres colores: verde, amarilla y morada, con un hueso marrón dentro.	PRIMAVERA FRUTA ÉPOCA BUENO FRESA OTRO CIRUELA COLOR PODER 3 VERDE AMARILLO MORADO, DENTRO CIRUELA HUESO MARRÓN.
Hay otra fruta parecida pero más grande y de color rosa-rojo y que con sabor ácido.	FRUTO OTRO GRANDE PARECIDO GRANDE++ ESTE COLOR ROSA ROJO SABOR ÁCIDO.
El verano empieza el 22 de junio y llega hasta el 22 de septiembre.	VERANO EMPEZAR 22 JUNIO HASTA 22 SEPTIEMBRE.
Los días son muy largos y el sol tarda mucho en irse, hace mucho calor.	DÍA CADA-VEZ-MÁS-LARGO. SOL \cl{baja el sol}. ANOCHECER TARDAR, MUCHO-CALOR.
Hace falta poca ropa: camiseta, pantalón corto, chancletas...	ROPA POCO, CAMISETA PANTALÓN \cl{pantalones cortos} CHANCLETA.
En esta época, los árboles tienen frutas.	VERANO ÉPOCA ÁRBOL HOJA \cl{muchas hojas en el árbol} FRUTA \cl{muchos frutos en el árbol}
El verano es la época en la que nacen los animales. El verano es guay porque están las vacaciones, se empieza a ir a la playa, a la piscina, al monte, a los campamentos y se disfruta mucho.	VERANO ÉPOCA ANIMAL NACER++. VERANO GUAY VACACIONES EMPEZAR IR PLAYA PISCINA MONTAÑA CAMPAMENTO DISFRUTAR.
Estoy en el primer ciclo, en segundo.  Mis compañeros tienen entre 7 y 8 años.	YO CLASE PRIMER CICLO SEGUNDO. COMPAÑERO EDAD 7, 8,
Tengo 15 compañeros, 4 somos sordos y 11 son oyentes.	COMPAÑERO 1 5, SORDO 4, OYENTE 1 1
La edad de mi profesor, ¡uf! Tiene 42 años ¡uf!.	PROFESOR EDAD ¡UF! 4 2 ¡UF!.
¡Qué agua más fría! Un sinónimo de "fría"... a ver que piense... ah sí ¡agua "fría"!.	SEÑALAR AGUA HELADA. HELADA SIGNO SINÓNIMO++ OTRO PENSAR AH! AGUA MUY-FRÍA.
¿Dos más dos son cinco? Es un fallo. ¿Dos más dos son cinco? Es una equivocación. ¿Dos más dos son cinco? Es un error. Estos tres signos "fallo", "equivocación" y "error" son sinónimos.	SEÑALAR DOS MÁS DOS CINCO? FALLO, DOS MÁS DOS CINCO EQUIVOCADO, DOS MÁS DOS CINCO ERROR, SIGNO FALLO EQUIVOCAR ERROR, ESTOS 3 SINÓNIMO
Mira qué diferencia entre estos dos coches: uno es muy grande y el otro muy pequeño.	SEÑALAR MIRA DIFERENTE COCHE MUY-GRANDE OTRO COCHE MUY-PEQUEÑO.
¿Estos dos perros son iguales? ¡No! Uno es negro y el otro blanco, son muy diferentes, justo lo contrario.	ESTOS 2 IGUAL? NO PERRO (IZDO.) NEGRO PERRO (DCHO.) BLANCO ESTOS-DOS MUY-DIFERENTE CONTRAR.
¿Son diferentes? Claro que sí. Una flor es alta y grande y la otra es pequeñita.	SEÑALAR DIFERENTE? SÍ. FLOR \cl{la flor crece mucho} \cl{flor muy alta}. OTRA FLOR \cl{la flor crece poco} \cl{flor pequeña}
Estoy contenta, porque estoy pensando en hacer un viaje.	YO CONTENTO, FUTURO PENSAR PREPARAR VIAJE
¿A dónde vas?	IR DÓNDE
¿Cómo irás?	IR CÓMO?
¿Cuándo irás?	IR CUÁNDO?
Muy bien.	MUY-BIEN
Sí, el avión es caro	SI AVIÓN CARO.
No sé cuándo, necesito dinero...Trabajaré y ahorraré y entonces podré hacerlo.	SABER NO CUÁNDO. HACER-FALTA DINERO, PRIMERO TRABAJAR, AHORRAR DESPUÉS HACER.
Papá, quiero pintar con el color rojo.	PAPÁ QUERER COLOR ROJO PINTA
No.	NO.
Si.	SI.
Que no!	NO!
Que si!	SI!
¿Por qué trabajas de jardinera?.	¿TÚ TRABAJAR JARDINERÍA POR QUÉ?
¿Te gusta tu trabajo?.	TÚ TRABAJO GUSTARSE?.
Me encanta.	ENCANTARSE.
¿Todos los días riegas con la manguera?	TÚ AGUA MANGUERA TODOS-LOS-DÍAS?
¡No! Se riega un día sí y uno no.	NO! AGUA MANGUERA DÍAS-ALTERNOS.
Hola, ¿qué tal?	HOLA QUÉ-TAL?
Mi signo es este y me llamo Mario, tengo siete años.	YO SIGNO MARIO NOMBRE \dl{MARIO} EDAD 7
Mi papá y mi mamá son oyentes, mi hermano es sordo. Solo tengo un hermano.	PAPÁyMAMÁ OYENTE HERMANO SORDO 1 NADA-MÁS.
Vivo en la Gran Vía, número 5.	YO VIVIR CALLE GRAN-VÍA NÚMERO 5
He nacido en España.	YO NACER ESPAÑA.
Ahora cuéntame tú.	AHORA TÚ VENGA CONTAR A-MI.
Hola, mi signo es este y me llamo Ana. Soy sorda. Ahora vamos a ver el álbum de mi familia, ¡qué recuerdos!.	HOLA YO SIGNO ANA NOMBRE \dl{ANA} YO SORDO. AHORA FAMILIA FOTOS ÁLBUM MIRAR. RECORDAR!
Mi padre y mi madre son oyentes, se enamoraron y se casaron. No tienen solo una hija sino que somos dos hermanos.	PAPÁ+MAMÁ OYENTE ELLOS ENAMORARSE CASARSE, HIJO 1 NO. HIJO OTRO NOSOTROS 2 HERMANO.
